Drug_A,Drug_B,Level,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Drug_A_ID,Drug_B_ID,Level_ID
Methylergometrine,Miconazole,Moderate,339.4,2.3,339.19467705,68.4,416.1,5.3,415.983074,27.1,136,10,2
Troglitazone,Methylergometrine,Moderate,441.5,5.1,441.16099414,110.0,339.4,2.3,339.19467705,68.4,11,136,2
Amoxapine,Metoclopramide,Major,313.8,2.6,313.0981898,36.9,299.79,2.6,299.1400546,67.6,166,24,3
Metoclopramide,Atracurium,Moderate,299.79,2.6,299.1400546,67.6,929.1,7.9,928.50852574,126.0,24,1081,2
Azatadine,Metoclopramide,Moderate,290.4,3.6,290.17829871,16.1,299.79,2.6,299.1400546,67.6,561,24,2
Metoclopramide,Berotralstat,Moderate,299.79,2.6,299.1400546,67.6,562.6,4.5,562.21042212,109.0,24,1199,2
Butabarbital,Metoclopramide,Moderate,212.25,1.6,212.11609238,75.3,299.79,2.6,299.1400546,67.6,300,24,2
Metoclopramide,Pentoxyverine,Moderate,299.79,2.6,299.1400546,67.6,333.5,3.8,333.23039385,38.8,24,1174,2
Metoclopramide,Clofedanol,Moderate,299.79,2.6,299.1400546,67.6,289.8,3.6,289.123342,23.5,24,1175,2
Metoclopramide,Chloral hydrate,Moderate,299.79,2.6,299.1400546,67.6,165.4,1.0,163.919862,40.5,24,1146,2
Chlormezanone,Metoclopramide,Moderate,273.74,1.1,273.0226421,62.8,299.79,2.6,299.1400546,67.6,1018,24,2
Chlorphenesin,Metoclopramide,Moderate,202.63,1.2,202.0396719,49.7,299.79,2.6,299.1400546,67.6,1019,24,2
Chlorpromazine,Metoclopramide,Major,318.9,5.2,318.0957475,31.8,299.79,2.6,299.1400546,67.6,173,24,3
Clidinium,Metoclopramide,Moderate,352.4,3.3,352.19126869,46.5,299.79,2.6,299.1400546,67.6,49,24,2
Cyclizine,Metoclopramide,Moderate,266.4,3.6,266.17829871,6.5,299.79,2.6,299.1400546,67.6,937,24,2
Cyproheptadine,Metoclopramide,Moderate,287.4,4.7,287.167399674,3.2,299.79,2.6,299.1400546,67.6,565,24,2
Dexbrompheniramine,Metoclopramide,Moderate,319.24,3.5,318.07316,16.1,299.79,2.6,299.1400546,67.6,556,24,2
Dexfenfluramine,Metoclopramide,Moderate,231.26,3.4,231.123484,12.0,299.79,2.6,299.1400546,67.6,16,24,2
Dezocine,Metoclopramide,Moderate,245.36,3.7,245.177964357,46.3,299.79,2.6,299.1400546,67.6,521,24,2
Entacapone,Metoclopramide,Moderate,305.29,2.1,305.10117059,130.0,299.79,2.6,299.1400546,67.6,311,24,2
Escitalopram,Metoclopramide,Moderate,324.4,3.2,324.16379146,36.3,299.79,2.6,299.1400546,67.6,724,24,2
Metoclopramide,Esketamine,Moderate,299.79,2.6,299.1400546,67.6,237.72,2.2,237.0920418,29.1,24,1141,2
Metoclopramide,Eslicarbazepine,Moderate,299.79,2.6,299.1400546,67.6,254.28,1.4,254.105527694,66.6,24,1156,2
Estazolam,Metoclopramide,Moderate,294.74,1.7,294.0672241,43.1,299.79,2.6,299.1400546,67.6,984,24,2
Eszopiclone,Metoclopramide,Moderate,388.8,0.5,388.1050661,91.8,299.79,2.6,299.1400546,67.6,593,24,2
Ethosuximide,Metoclopramide,Moderate,141.17,0.4,141.078978594,46.2,299.79,2.6,299.1400546,67.6,641,24,2
Ethotoin,Metoclopramide,Moderate,204.22,1.0,204.08987763,49.4,299.79,2.6,299.1400546,67.6,702,24,2
Metoclopramide,Ezogabine,Moderate,299.79,2.6,299.1400546,67.6,303.33,2.8,303.13830499,76.4,24,751,2
Metoclopramide,Fedratinib,Moderate,299.79,2.6,299.1400546,67.6,524.7,4.8,524.25696021,117.0,24,1085,2
Felbamate,Metoclopramide,Moderate,238.24,0.6,238.09535693,105.0,299.79,2.6,299.1400546,67.6,895,24,2
Fenfluramine,Metoclopramide,Moderate,231.26,3.4,231.123484,12.0,299.79,2.6,299.1400546,67.6,19,24,2
Flavoxate,Metoclopramide,Moderate,391.5,4.3,391.17835828,55.8,299.79,2.6,299.1400546,67.6,939,24,2
Metoclopramide,Flibanserin,Moderate,299.79,2.6,299.1400546,67.6,390.4,3.3,390.16674579,38.8,24,896,2
Fluoxetine,Metoclopramide,Moderate,309.33,4.0,309.13404868,21.3,299.79,2.6,299.1400546,67.6,195,24,2
Fluphenazine,Metoclopramide,Major,437.5,4.4,437.17486812,55.3,299.79,2.6,299.1400546,67.6,196,24,3
Flurazepam,Metoclopramide,Moderate,387.9,3.0,387.1513682,35.9,299.79,2.6,299.1400546,67.6,597,24,2
Fluvoxamine,Metoclopramide,Moderate,318.33,2.6,318.1555124,56.8,299.79,2.6,299.1400546,67.6,273,24,2
Fosfomycin,Metoclopramide,Minor,138.06,-1.4,138.0081957,70.1,299.79,2.6,299.1400546,67.6,461,24,1
Metoclopramide,Fosphenytoin,Moderate,299.79,2.6,299.1400546,67.6,362.27,0.6,362.0667732,116.0,24,404,2
Gabapentin,Metoclopramide,Moderate,171.24,-1.1,171.125928785,63.3,299.79,2.6,299.1400546,67.6,1020,24,2
Metoclopramide,Givosiran,Moderate,299.79,2.6,299.1400546,67.6,1711.0,-5.9,1709.9689321,597.0,24,1130,2
Metoclopramide,Glycerol phenylbutyrate,Moderate,299.79,2.6,299.1400546,67.6,530.6,6.7,530.26683893,78.9,24,63,2
Halazepam,Metoclopramide,Moderate,352.7,4.0,352.0590252,32.7,299.79,2.6,299.1400546,67.6,598,24,2
Haloperidol,Metoclopramide,Major,375.9,3.2,375.1401348,40.5,299.79,2.6,299.1400546,67.6,203,24,3
Metoclopramide,Diamorphine,Moderate,299.79,2.6,299.1400546,67.6,369.4,1.5,369.15762283,65.1,24,860,2
Hydromorphone,Metoclopramide,Moderate,285.34,1.8,285.13649347,49.8,299.79,2.6,299.1400546,67.6,524,24,2
Hydroxyzine,Metoclopramide,Moderate,374.9,3.7,374.1761058,35.9,299.79,2.6,299.1400546,67.6,204,24,2
Ifosfamide,Metoclopramide,Moderate,261.08,0.9,260.0248201,41.6,299.79,2.6,299.1400546,67.6,1021,24,2
Metoclopramide,Iloperidone,Major,299.79,2.6,299.1400546,67.6,426.5,4.1,426.19548551,64.8,24,408,3
Imipramine,Metoclopramide,Moderate,280.4,4.8,280.193948774,6.5,299.79,2.6,299.1400546,67.6,206,24,2
Metoclopramide,Iohexol,Major,299.79,2.6,299.1400546,67.6,821.1,-3.0,820.8803,200.0,24,1040,3
Metoclopramide,Kava,Moderate,299.79,2.6,299.1400546,67.6,232.27,2.3,232.109944368,35.5,24,906,2
Levacetylmethadol,Metoclopramide,Moderate,353.5,4.3,353.235479232,29.5,299.79,2.6,299.1400546,67.6,525,24,2
Lindane,Metoclopramide,Moderate,290.8,3.8,289.857116,0.0,299.79,2.6,299.1400546,67.6,602,24,2
Mephenytoin,Metoclopramide,Moderate,218.25,1.5,218.105527694,49.4,299.79,2.6,299.1400546,67.6,353,24,2
Meprobamate,Metoclopramide,Moderate,218.25,0.7,218.12665706,105.0,299.79,2.6,299.1400546,67.6,606,24,2
Mesoridazine,Metoclopramide,Major,386.6,4.5,386.1486558,68.1,299.79,2.6,299.1400546,67.6,420,24,3
Methdilazine,Metoclopramide,Major,296.4,5.2,296.13471982,31.8,299.79,2.6,299.1400546,67.6,422,24,3
Metoclopramide,Methotrimeprazine,Major,299.79,2.6,299.1400546,67.6,328.5,4.7,328.16093457,41.0,24,423,3
Metyrosine,Metoclopramide,Moderate,195.21,-1.6,195.08954328,83.6,299.79,2.6,299.1400546,67.6,797,24,2
Midazolam,Metoclopramide,Moderate,325.8,2.5,325.0782033,30.2,299.79,2.6,299.1400546,67.6,253,24,2
Metoclopramide,Milnacipran,Moderate,299.79,2.6,299.1400546,67.6,246.35,1.4,246.17321333,46.3,24,140,2
Metoclopramide,Mirabegron,Moderate,299.79,2.6,299.1400546,67.6,396.5,2.1,396.16199719,129.0,24,926,2
Mirtazapine,Metoclopramide,Moderate,265.35,3.3,265.157897619,19.4,299.79,2.6,299.1400546,67.6,213,24,2
Nefazodone,Metoclopramide,Moderate,470.0,4.3,469.224453,51.6,299.79,2.6,299.1400546,67.6,608,24,2
Metoclopramide,Nilotinib,Moderate,299.79,2.6,299.1400546,67.6,529.5,4.9,529.18379284,97.6,24,757,2
Nortriptyline,Metoclopramide,Moderate,263.4,4.5,263.167399674,12.0,299.79,2.6,299.1400546,67.6,217,24,2
Metoclopramide,Oliceridine,Moderate,299.79,2.6,299.1400546,67.6,386.6,3.5,386.20279938,71.6,24,1074,2
Metoclopramide,Opicapone,Moderate,299.79,2.6,299.1400546,67.6,413.2,3.4,411.9977394,151.0,24,1094,2
Oxazepam,Metoclopramide,Moderate,286.71,2.2,286.0509053,61.7,299.79,2.6,299.1400546,67.6,612,24,2
Oxcarbazepine,Metoclopramide,Moderate,252.27,1.7,252.08987763,63.4,299.79,2.6,299.1400546,67.6,489,24,2
Oxybutynin,Metoclopramide,Moderate,357.5,4.2,357.23039385,49.8,299.79,2.6,299.1400546,67.6,943,24,2
Oxymorphone,Metoclopramide,Moderate,301.34,0.8,301.13140809,70.0,299.79,2.6,299.1400546,67.6,530,24,2
Metoclopramide,Ozanimod,Moderate,299.79,2.6,299.1400546,67.6,404.5,3.1,404.18484064,104.0,24,1064,2
Metoclopramide,Pancuronium,Moderate,299.79,2.6,299.1400546,67.6,572.9,6.6,572.4553084,52.6,24,970,2
Metoclopramide,Panobinostat,Moderate,299.79,2.6,299.1400546,67.6,349.4,3.0,349.17902698,77.2,24,758,2
Metoclopramide,Paraldehyde,Moderate,299.79,2.6,299.1400546,67.6,132.16,0.7,132.078644241,27.7,24,1148,2
Paramethadione,Metoclopramide,Moderate,157.17,0.8,157.07389321,46.6,299.79,2.6,299.1400546,67.6,1022,24,2
Paroxetine,Metoclopramide,Moderate,329.4,3.5,329.14272166,39.7,299.79,2.6,299.1400546,67.6,613,24,2
Pentobarbital,Metoclopramide,Moderate,226.27,2.1,226.13174244,75.3,299.79,2.6,299.1400546,67.6,361,24,2
Metoclopramide,Perampanel,Moderate,299.79,2.6,299.1400546,67.6,349.4,3.4,349.12151211,57.0,24,1180,2
Pergolide,Metoclopramide,Moderate,314.5,4.2,314.18167001,44.3,299.79,2.6,299.1400546,67.6,730,24,2
Perphenazine,Metoclopramide,Major,404.0,4.2,403.1485113,55.3,299.79,2.6,299.1400546,67.6,221,24,3
Phenacemide,Metoclopramide,Moderate,178.19,0.9,178.074227566,72.2,299.79,2.6,299.1400546,67.6,1023,24,2
Phenelzine,Metoclopramide,Moderate,136.19,1.2,136.100048391,38.1,299.79,2.6,299.1400546,67.6,143,24,2
Metoclopramide,Phenindamine,Moderate,299.79,2.6,299.1400546,67.6,261.4,3.1,261.15174961,3.2,24,944,2
Phenobarbital,Metoclopramide,Moderate,232.23,1.5,232.08479225,75.3,299.79,2.6,299.1400546,67.6,712,24,2
Phensuximide,Metoclopramide,Moderate,189.21,0.8,189.078978594,37.4,299.79,2.6,299.1400546,67.6,1024,24,2
Phenytoin,Metoclopramide,Moderate,252.27,2.5,252.08987763,58.2,299.79,2.6,299.1400546,67.6,82,24,2
Pimozide,Metoclopramide,Major,461.5,6.3,461.22786888,35.6,299.79,2.6,299.1400546,67.6,617,24,3
Metoclopramide,Pitolisant,Moderate,299.79,2.6,299.1400546,67.6,295.8,4.3,295.1702921,12.5,24,993,2
Metoclopramide,Posaconazole,Moderate,299.79,2.6,299.1400546,67.6,700.8,4.6,700.32970817,112.0,24,761,2
Pramipexole,Metoclopramide,Moderate,211.33,1.9,211.11431873,79.2,299.79,2.6,299.1400546,67.6,255,24,2
Primidone,Metoclopramide,Moderate,218.25,0.9,218.105527694,58.2,299.79,2.6,299.1400546,67.6,491,24,2
Procainamide,Metoclopramide,Moderate,235.33,0.9,235.168462302,58.4,299.79,2.6,299.1400546,67.6,764,24,2
Procarbazine,Metoclopramide,Moderate,221.3,0.1,221.152812238,53.2,299.79,2.6,299.1400546,67.6,146,24,2
Procyclidine,Metoclopramide,Moderate,287.4,4.1,287.224914549,23.5,299.79,2.6,299.1400546,67.6,559,24,2
Promazine,Metoclopramide,Major,284.4,4.5,284.13471982,31.8,299.79,2.6,299.1400546,67.6,224,24,3
Propantheline,Metoclopramide,Moderate,368.5,4.2,368.22256882,35.5,299.79,2.6,299.1400546,67.6,57,24,2
Propiomazine,Metoclopramide,Major,340.5,4.8,340.16093457,48.9,299.79,2.6,299.1400546,67.6,440,24,3
Protriptyline,Metoclopramide,Moderate,263.4,4.4,263.167399674,12.0,299.79,2.6,299.1400546,67.6,227,24,2
Metoclopramide,Quazepam,Moderate,299.79,2.6,299.1400546,67.6,386.8,4.0,386.0267599,47.7,24,985,2
Quetiapine,Metoclopramide,Major,383.5,2.1,383.16674822,73.6,299.79,2.6,299.1400546,67.6,441,24,3
Quinidine,Metoclopramide,Moderate,324.4,2.9,324.183778013,45.6,299.79,2.6,299.1400546,67.6,228,24,2
Ramelteon,Metoclopramide,Moderate,259.34,2.7,259.157228913,38.3,299.79,2.6,299.1400546,67.6,714,24,2
Ranolazine,Metoclopramide,Moderate,427.5,2.7,427.24710654,74.3,299.79,2.6,299.1400546,67.6,230,24,2
Metoclopramide,Rasagiline,Moderate,299.79,2.6,299.1400546,67.6,171.24,1.8,171.104799419,12.0,24,907,2
Remifentanil,Metoclopramide,Moderate,376.4,1.9,376.199822,76.2,299.79,2.6,299.1400546,67.6,621,24,2
Metoclopramide,Remimazolam,Moderate,299.79,2.6,299.1400546,67.6,439.3,3.4,438.06914,69.4,24,1149,2
Rocuronium,Metoclopramide,Moderate,529.8,5.0,529.40053318,59.0,299.79,2.6,299.1400546,67.6,256,24,2
Metoclopramide,Rolapitant,Moderate,299.79,2.6,299.1400546,67.6,500.5,4.4,500.18984705,50.4,24,510,2
Metoclopramide,Rotigotine,Moderate,299.79,2.6,299.1400546,67.6,315.5,4.9,315.16568559,51.7,24,1181,2
Metoclopramide,Rufinamide,Moderate,299.79,2.6,299.1400546,67.6,238.19,0.7,238.06661722,73.8,24,929,2
Metoclopramide,Safinamide,Moderate,299.79,2.6,299.1400546,67.6,302.34,2.2,302.14305602,64.4,24,148,2
Scopolamine,Metoclopramide,Moderate,303.35,0.9,303.14705815,62.3,299.79,2.6,299.1400546,67.6,58,24,2
Secobarbital,Metoclopramide,Moderate,238.28,2.0,238.13174244,75.3,299.79,2.6,299.1400546,67.6,368,24,2
Selegiline,Metoclopramide,Moderate,187.28,2.8,187.136099547,3.2,299.79,2.6,299.1400546,67.6,150,24,2
Sertraline,Metoclopramide,Moderate,306.2,4.8,305.0738049,12.0,299.79,2.6,299.1400546,67.6,624,24,2
Sibutramine,Metoclopramide,Moderate,279.8,5.4,279.1753775,3.2,299.79,2.6,299.1400546,67.6,70,24,2
Sirolimus,Metoclopramide,Moderate,914.2,6.0,913.55514157,195.0,299.79,2.6,299.1400546,67.6,444,24,2
Metoclopramide,Solifenacin,Moderate,299.79,2.6,299.1400546,67.6,362.5,4.0,362.199428076,32.8,24,768,2
Metoclopramide,Stiripentol,Moderate,299.79,2.6,299.1400546,67.6,234.29,3.6,234.125594432,38.7,24,947,2
Metoclopramide,Suvorexant,Moderate,299.79,2.6,299.1400546,67.6,450.9,4.9,450.1571017,80.3,24,930,2
Tacrolimus,Metoclopramide,Moderate,804.0,2.7,803.48197664,178.0,299.79,2.6,299.1400546,67.6,236,24,2
Metoclopramide,Tapentadol,Moderate,299.79,2.6,299.1400546,67.6,221.34,3.5,221.177964357,23.5,24,877,2
Metoclopramide,Tasimelteon,Moderate,299.79,2.6,299.1400546,67.6,245.32,2.2,245.141578849,38.3,24,1169,2
Temazepam,Metoclopramide,Moderate,300.74,2.2,300.0665554,52.9,299.79,2.6,299.1400546,67.6,628,24,2
Metoclopramide,Tetrabenazine,Major,299.79,2.6,299.1400546,67.6,317.4,2.9,317.19909372,38.8,24,733,3
Thalidomide,Metoclopramide,Moderate,258.23,0.3,258.0640568,83.6,299.79,2.6,299.1400546,67.6,718,24,2
Thiethylperazine,Metoclopramide,Major,399.6,5.4,399.18029028,60.3,299.79,2.6,299.1400546,67.6,320,24,3
Thioridazine,Metoclopramide,Major,370.6,5.9,370.15374118,57.1,299.79,2.6,299.1400546,67.6,240,24,3
Metoclopramide,Thiothixene,Major,299.79,2.6,299.1400546,67.6,443.6,3.8,443.17011952,77.5,24,734,3
Tiagabine,Metoclopramide,Moderate,375.6,2.7,375.13267139,97.0,299.79,2.6,299.1400546,67.6,1025,24,2
Tizanidine,Metoclopramide,Moderate,253.71,1.1,253.0188941,90.4,299.79,2.6,299.1400546,67.6,241,24,2
Tolcapone,Metoclopramide,Moderate,273.24,3.3,273.06372245,103.0,299.79,2.6,299.1400546,67.6,322,24,2
Tolterodine,Metoclopramide,Moderate,325.5,5.6,325.240564612,23.5,299.79,2.6,299.1400546,67.6,629,24,2
Tranylcypromine,Metoclopramide,Moderate,133.19,1.5,133.089149355,26.0,299.79,2.6,299.1400546,67.6,152,24,2
Triazolam,Metoclopramide,Moderate,343.2,2.4,342.0439018,43.1,299.79,2.6,299.1400546,67.6,630,24,2
Trifluoperazine,Metoclopramide,Major,407.5,5.0,407.16430344,35.0,299.79,2.6,299.1400546,67.6,246,24,3
Triflupromazine,Metoclopramide,Major,352.4,5.2,352.12210427,31.8,299.79,2.6,299.1400546,67.6,247,24,3
Trihexyphenidyl,Metoclopramide,Moderate,301.5,4.5,301.240564612,23.5,299.79,2.6,299.1400546,67.6,560,24,2
Metoclopramide,Alimemazine,Major,299.79,2.6,299.1400546,67.6,298.4,4.7,298.15036988,31.8,24,449,3
Trimethadione,Metoclopramide,Moderate,143.14,0.3,143.058243149,46.6,299.79,2.6,299.1400546,67.6,913,24,2
Trimipramine,Metoclopramide,Moderate,294.4,5.8,294.209598838,6.5,299.79,2.6,299.1400546,67.6,248,24,2
Tripelennamine,Metoclopramide,Moderate,255.36,3.3,255.173547683,19.4,299.79,2.6,299.1400546,67.6,569,24,2
Triprolidine,Metoclopramide,Moderate,278.4,3.9,278.17829871,16.1,299.79,2.6,299.1400546,67.6,570,24,2
Metoclopramide,Valbenazine,Moderate,299.79,2.6,299.1400546,67.6,418.6,4.3,418.2831577,74.0,24,1036,2
Metoclopramide,Vecuronium,Moderate,299.79,2.6,299.1400546,67.6,557.8,6.5,557.4318333,55.8,24,972,2
Metoclopramide,Vemurafenib,Moderate,299.79,2.6,299.1400546,67.6,489.9,5.0,489.0725466,100.0,24,773,2
Venlafaxine,Metoclopramide,Moderate,277.4,2.9,277.204179104,32.7,299.79,2.6,299.1400546,67.6,153,24,2
Vigabatrin,Metoclopramide,Moderate,129.16,-2.2,129.078978594,63.3,299.79,2.6,299.1400546,67.6,720,24,2
Metoclopramide,Vilazodone,Moderate,299.79,2.6,299.1400546,67.6,441.5,4.0,441.21647512,102.0,24,881,2
Metoclopramide,Vortioxetine,Moderate,299.79,2.6,299.1400546,67.6,298.4,4.2,298.15036988,40.6,24,882,2
Zaleplon,Metoclopramide,Moderate,305.33,1.0,305.12766012,74.3,299.79,2.6,299.1400546,67.6,632,24,2
Metoclopramide,Ziconotide,Moderate,299.79,2.6,299.1400546,67.6,2639.2,-14.0,2638.1016905,1310.0,24,1182,2
Ziprasidone,Metoclopramide,Major,412.9,4.0,412.1124602,76.7,299.79,2.6,299.1400546,67.6,86,24,3
Zolpidem,Metoclopramide,Moderate,307.4,2.5,307.168462302,37.6,299.79,2.6,299.1400546,67.6,633,24,2
Zonisamide,Metoclopramide,Moderate,212.23,0.2,212.0255633,94.6,299.79,2.6,299.1400546,67.6,477,24,2
Acetohexamide,Metolazone,Moderate,324.4,2.4,324.1143783,101.0,365.8,4.1,365.0600902,101.0,95,281,2
Metolazone,Cisapride,Major,365.8,4.1,365.0600902,101.0,465.9,3.4,465.1830623,86.1,281,15,3
Metolazone,Clidinium,Minor,365.8,4.1,365.0600902,101.0,352.4,3.3,352.19126869,46.5,281,49,1
Metolazone,Dihydrotachysterol,Moderate,365.8,4.1,365.0600902,101.0,398.7,7.7,398.354866087,20.2,281,544,2
Ergocalciferol,Metolazone,Moderate,396.6,7.4,396.339216023,20.2,365.8,4.1,365.0600902,101.0,455,281,2
Metolazone,Ertugliflozin,Moderate,365.8,4.1,365.0600902,101.0,436.9,1.7,436.1288808,109.0,281,499,2
Metolazone,Esomeprazole,Moderate,365.8,4.1,365.0600902,101.0,345.4,2.2,345.11471265,96.3,281,62,2
Metolazone,Exenatide,Moderate,365.8,4.1,365.0600902,101.0,4187.0,-21.0,4185.0306624,1780.0,281,500,2
Metolazone,Glipizide,Moderate,365.8,4.1,365.0600902,101.0,445.5,1.9,445.17837553,139.0,281,100,2
Metolazone,Glyburide,Moderate,365.8,4.1,365.0600902,101.0,494.0,4.8,493.1438199,122.0,281,101,2
Metolazone,Glycerin,Moderate,365.8,4.1,365.0600902,101.0,92.09,-1.8,92.047344113,60.7,281,573,2
Metolazone,Glycopyrronium,Minor,365.8,4.1,365.0600902,101.0,318.4,3.1,318.20691876,46.5,281,91,1
Insulin human,Metolazone,Moderate,5808.0,-13.1,5805.6443599,2450.0,365.8,4.1,365.0600902,101.0,92,281,2
Metolazone,Lactitol,Moderate,365.8,4.1,365.0600902,101.0,344.31,-5.2,344.13186158,201.0,281,988,2
Metolazone,Lactulose,Moderate,365.8,4.1,365.0600902,101.0,342.3,-4.3,342.11621151,190.0,281,21,2
Miglitol,Metolazone,Moderate,207.22,-2.6,207.11067264,104.0,365.8,4.1,365.0600902,101.0,158,281,2
Metolazone,Mineral oil,Moderate,365.8,4.1,365.0600902,101.0,1244.3,7.4,1243.51702653,400.0,281,575,2
Metolazone,Nateglinide,Moderate,365.8,4.1,365.0600902,101.0,317.4,3.2,317.19909372,66.4,281,102,2
Pantoprazole,Metolazone,Moderate,383.4,2.4,383.07513347,106.0,365.8,4.1,365.0600902,101.0,67,281,2
Metolazone,Phenolphthalein,Moderate,365.8,4.1,365.0600902,101.0,318.3,3.6,318.08920892,66.8,281,30,2
Metolazone,Pioglitazone,Moderate,365.8,4.1,365.0600902,101.0,356.4,3.8,356.11946368,93.6,281,31,2
Metolazone,Pramlintide,Moderate,365.8,4.1,365.0600902,101.0,3949.0,-15.7,3947.9240297,1740.0,281,508,2
Metolazone,Prednisolone,Moderate,365.8,4.1,365.0600902,101.0,360.4,1.6,360.19367399,94.8,281,42,2
Metolazone,Prednisone,Moderate,365.8,4.1,365.0600902,101.0,358.4,1.5,358.17802393,91.7,281,43,2
Metolazone,Propantheline,Minor,365.8,4.1,365.0600902,101.0,368.5,4.2,368.22256882,35.5,281,57,1
Metolazone,Repaglinide,Moderate,365.8,4.1,365.0600902,101.0,452.6,5.2,452.26750763,78.9,281,32,2
Rosiglitazone,Metolazone,Moderate,357.4,3.1,357.11471265,96.8,365.8,4.1,365.0600902,101.0,33,281,2
Metolazone,Saxagliptin,Moderate,365.8,4.1,365.0600902,101.0,315.4,0.7,315.19467705,90.4,281,511,2
Metolazone,Scopolamine,Minor,365.8,4.1,365.0600902,101.0,303.35,0.9,303.14705815,62.3,281,58,1
Metolazone,Sibutramine,Moderate,365.8,4.1,365.0600902,101.0,279.8,5.4,279.1753775,3.2,281,70,2
Metolazone,Sitagliptin,Moderate,365.8,4.1,365.0600902,101.0,407.31,0.7,407.11807909,77.0,281,513,2
Metolazone,Tolazamide,Moderate,365.8,4.1,365.0600902,101.0,311.4,1.5,311.13036271,86.9,281,103,2
Metolazone,Tolbutamide,Moderate,365.8,4.1,365.0600902,101.0,270.35,2.3,270.10381361,83.7,281,104,2
Troglitazone,Metolazone,Moderate,441.5,5.1,441.16099414,110.0,365.8,4.1,365.0600902,101.0,11,281,2
Metoprolol,Clidinium,Moderate,267.36,1.9,267.18344366,50.7,352.4,3.3,352.19126869,46.5,317,49,2
Metoprolol,Ephedrine,Moderate,267.36,1.9,267.18344366,50.7,165.23,0.9,165.115364102,32.3,317,395,2
Metoprolol,Ertugliflozin,Moderate,267.36,1.9,267.18344366,50.7,436.9,1.7,436.1288808,109.0,317,499,2
Metoprolol,Glycerol phenylbutyrate,Moderate,267.36,1.9,267.18344366,50.7,530.6,6.7,530.26683893,78.9,317,63,2
Insulin human,Metoprolol,Moderate,5808.0,-13.1,5805.6443599,2450.0,267.36,1.9,267.18344366,50.7,92,317,2
Metoprolol,Nateglinide,Moderate,267.36,1.9,267.18344366,50.7,317.4,3.2,317.19909372,66.4,317,102,2
Metoprolol,Prednisone,Moderate,267.36,1.9,267.18344366,50.7,358.4,1.5,358.17802393,91.7,317,43,2
Metoprolol,Propantheline,Moderate,267.36,1.9,267.18344366,50.7,368.5,4.2,368.22256882,35.5,317,57,2
Metoprolol,Repaglinide,Moderate,267.36,1.9,267.18344366,50.7,452.6,5.2,452.26750763,78.9,317,32,2
Metoprolol,Rolapitant,Moderate,267.36,1.9,267.18344366,50.7,500.5,4.4,500.18984705,50.4,317,510,2
Metoprolol,Scopolamine,Moderate,267.36,1.9,267.18344366,50.7,303.35,0.9,303.14705815,62.3,317,58,2
Metoprolol,Tolazamide,Moderate,267.36,1.9,267.18344366,50.7,311.4,1.5,311.13036271,86.9,317,103,2
Metoprolol,Tolbutamide,Moderate,267.36,1.9,267.18344366,50.7,270.35,2.3,270.10381361,83.7,317,104,2
Abarelix,Metronidazole,Minor,1416.1,3.7,1414.6840715,425.0,171.15,0.0,171.06439116,83.9,161,25,1
Amoxapine,Metronidazole,Minor,313.8,2.6,313.0981898,36.9,171.15,0.0,171.06439116,83.9,166,25,1
Astemizole,Metronidazole,Minor,458.6,6.0,458.24818979,42.3,171.15,0.0,171.06439116,83.9,169,25,1
Metronidazole,Bedaquiline,Minor,171.15,0.0,171.06439116,83.9,555.5,7.2,554.15689,45.6,25,741,1
Metronidazole,Benznidazole,Moderate,171.15,0.0,171.06439116,83.9,260.25,0.9,260.09094026,92.7,25,1220,2
Metronidazole,Bepridil,Minor,171.15,0.0,171.06439116,83.9,366.5,5.3,366.267113712,15.7,25,742,1
Chlorpromazine,Metronidazole,Minor,318.9,5.2,318.0957475,31.8,171.15,0.0,171.06439116,83.9,173,25,1
Cisapride,Metronidazole,Minor,465.9,3.4,465.1830623,86.1,171.15,0.0,171.06439116,83.9,15,25,1
Metronidazole,Entrectinib,Minor,171.15,0.0,171.06439116,83.9,560.6,5.7,560.27113067,85.5,25,1026,1
Metronidazole,Enzalutamide,Minor,171.15,0.0,171.06439116,83.9,464.4,3.6,464.09300959,109.0,25,749,1
Epirubicin,Metronidazole,Minor,543.5,1.3,543.17406074,206.0,171.15,0.0,171.06439116,83.9,189,25,1
Metronidazole,Eribulin,Moderate,171.15,0.0,171.06439116,83.9,729.9,1.1,729.4088117,146.0,25,750,2
Metronidazole,Escitalopram,Minor,171.15,0.0,171.06439116,83.9,324.4,3.2,324.16379146,36.3,25,724,1
Metronidazole,Etravirine,Moderate,171.15,0.0,171.06439116,83.9,435.3,4.5,434.04907,121.0,25,920,2
Metronidazole,Ezogabine,Minor,171.15,0.0,171.06439116,83.9,303.33,2.8,303.13830499,76.4,25,751,1
Metronidazole,Fingolimod,Minor,171.15,0.0,171.06439116,83.9,307.5,4.2,307.251129295,66.5,25,1069,1
Metronidazole,Flecainide,Minor,171.15,0.0,171.06439116,83.9,414.34,3.8,414.13781148,59.6,25,725,1
Fluconazole,Metronidazole,Minor,306.27,0.4,306.10406535,81.7,171.15,0.0,171.06439116,83.9,194,25,1
Fluoxetine,Metronidazole,Minor,309.33,4.0,309.13404868,21.3,171.15,0.0,171.06439116,83.9,195,25,1
